common_name,scientific_name,MLE_combined,MLE_male,MLE_female
Aardvark,Orycteropus afer,-,,11.5
Addax,Addax nasomaculatus,-,10.7,13.9
"Agouti, Brazilian",Dasyprocta leporina,8.2,-,-
"Alligator, Chinese",Alligator sinensis,25,-,-
"Anoa, Lowland",Bubalus depressicornis,17.4,-,-
"Anteater, Giant",Myrmecophaga tridactyla,19.2,-,-
"Antelope, Roan",Hippotragus equinus,-,,12.3
"Antelope, Sable",Hippotragus niger,11,-,-
"Aracari, Green",Pteroglossus viridis,7.9,-,-
"Argus, Great",Argusianus argus,12.4,-,-
"Armadillo, Southern Three-banded",Tolypeutes matacas,18.2,-,-
"Baboon, Hamadryas",Papio hamadryas,27.5,-,-
Barasingha,Rucervus duvaucelii,-,9.3,13.1
"Barbet, Bearded",Pogonornis dubius,5.6,-,-
"Barbet, Red and Yellow",Trachyphonus erythrocephalus,4.6,-,-
"Bat, Rodrigues Fruit",Pteropus rodricensis,-,13.6,16.5
"Bat, Straw-Colored Fruit",Eidolon helvum,-,18.5,
"Bear, Andean Spectacled",Tremarctos ornatus,26,-,-
"Bear, Asiatic Black",Ursus thibetanus,-,,29.3
"Bear, Brown",Ursus arctos,-,21.9,26.8
"Bear, Polar",Ursus maritimus,23.4,-,-
"Bear, Sloth",Melursus ursinus,17.8,-,-
"Bear, Sun",Helarctos malayanus,-,,23.1
"Beaver, American",Castor canadensis,10.6,-,-
"Bettong, Brush-tailed",Bettongia penicillata,8.3,-,-
Binturong,Arctictis binturong,-,17.9,14.8
"Bird-of-paradise, Raggiana",Paradisaea raggiana,14.5,-,-
"Bluebird, Fairy",Irena puella,5,-,-
"Boa, Jamaican",Chilabothrus subflavus,-,23.7,15.8
Bobcat,Lynx rufus,18.3,-,-
"Bongo, Eastern",Tragelaphus eurycerus isaaci,-,9.2,12.3
Bonobo,Pan paniscus,-,33.6,
Bontebok,Damaliscus pygargus pygarus,11,-,-
"Buffalo, African Savannah",Syncerus caffer,18.8,-,-
"Bulbul, Collared Finch-billed",Spizixos semitorques,5,-,-
"Bushbaby, Moholi",Galago moholi,7.6,-,-
"Bushmaster, South American",Lachesis muta,7.8,-,-
"Bustard, Buff-crested",Lophotis gindiana,7.5,-,-
"Buttonquail, Madagascar",Turnix nigricollis,-,,3.2
"Cacique, Yellow-rumped",Cacicus cela,-,,6.7
Callimico,Callimico goeldii,8.9,-,-
"Camel, Bactrian",Camelus bactrianus,17.8,-,-
Capybara,Hydrochaeris hydrochaeris,-,7.1,8.6
Caracal,Caracal caracal,12.9,-,-
"Cardinal, Red-capped",Paroaria gularis,5.8,-,-
"Cardinal, Red-crested",Paroaria coronata,4.1,-,-
"Cassowary, Southern (Double-wattled)",Casuarius casuarius,22,-,-
"Cat, Black-footed",Felis nigripes,5.3,-,-
"Cat, Fishing",Prionailurus viverrinus,-,10.9,12.8
"Cat, Pallas'",Felis manul,8.7,-,-
"Cat, Sand",Felis margarita,10,-,-
"Chat, Snowy-Headed Robin",Cossypha niveicapilla,4.4,-,-
Cheetah,Acinonyx jubatus,11.7,-,-
"Chevrotain, Greater Malayan",Tragulus napu,7.2,-,-
"Chicken, Attwater's Prairie",Tympanuchus cupido attwateri,3.2,-,-
Chimpanzee,Pan troglodytes,-,32.5,40.1
"Chuckwalla, San Esteban",Sauromalus varius,8.4,-,-
"Coatimundi, White-Nosed",Nasua narica,13.5,-,-
"Colobus, Angolan",Colobus angolensis,19.5,-,-
"Colobus, Guereza",Colobus guereza,-,19.6,15.1
"Conure, Golden",Guarouba guarouba,16.3,-,-
"Crake, Black",Zapornia flavirostra,3.7,-,-
"Crane, Black-crowned",Balearica pavonina,12.9,-,-
"Crane, Blue",Anthropoides paradisea,13.4,-,-
"Crane, Demoiselle",Anthropoides virgo,13.2,-,-
"Crane, Grey-crowned",Balearica regulorum,12.2,-,-
"Crane, Hooded",Grus monacha,14,-,-
"Crane, Red-crowned",Grus japonensis,29,-,-
"Crane, Wattled",Bugeranus carunculatus,-,20,
