common_name,scientific_name,MLE_combined,MLE_male,MLE_female,status
Aardvark,Orycteropus afer,-,,11.5,Least Concern
Addax,Addax nasomaculatus,-,10.7,13.9,Endangered
"Agouti, Brazilian",Dasyprocta leporina,8.2,-,-,Least Concern
"Alligator, Chinese",Alligator sinensis,25,-,-,Endangered
"Anoa, Lowland",Bubalus depressicornis,17.4,-,-,Endangered
"Anteater, Giant",Myrmecophaga tridactyla,19.2,-,-,Least Concern
"Antelope, Roan",Hippotragus equinus,-,,12.3,Least Concern
"Antelope, Sable",Hippotragus niger,11,-,-,Least Concern
"Aracari, Green",Pteroglossus viridis,7.9,-,-,Least Concern
"Argus, Great",Argusianus argus,12.4,-,-,Least Concern
"Armadillo, Southern Three-banded",Tolypeutes matacas,18.2,-,-,Least Concern
"Baboon, Hamadryas",Papio hamadryas,27.5,-,-,Least Concern
Barasingha,Rucervus duvaucelii,-,9.3,13.1,Least Concern
"Barbet, Bearded",Pogonornis dubius,5.6,-,-,Least Concern
"Barbet, Red and Yellow",Trachyphonus erythrocephalus,4.6,-,-,Least Concern
"Bat, Rodrigues Fruit",Pteropus rodricensis,-,13.6,16.5,Endangered
"Bat, Straw-Colored Fruit",Eidolon helvum,-,18.5,,Least Concern
"Bear, Andean Spectacled",Tremarctos ornatus,26,-,-,Least Concern
"Bear, Asiatic Black",Ursus thibetanus,-,,29.3,Least Concern
"Bear, Brown",Ursus arctos,-,21.9,26.8,Endangered
"Bear, Polar",Ursus maritimus,23.4,-,-,Threatened
"Bear, Sloth",Melursus ursinus,17.8,-,-,Least Concern
"Bear, Sun",Helarctos malayanus,-,,23.1,Least Concern
"Beaver, American",Castor canadensis,10.6,-,-,Least Concern
"Bettong, Brush-tailed",Bettongia penicillata,8.3,-,-,Endangered
Binturong,Arctictis binturong,-,17.9,14.8,Least Concern
"Bird-of-paradise, Raggiana",Paradisaea raggiana,14.5,-,-,Least Concern
"Bluebird, Fairy",Irena puella,5,-,-,Least Concern
"Boa, Jamaican",Chilabothrus subflavus,-,23.7,15.8,Least Concern
Bobcat,Lynx rufus,18.3,-,-,Least Concern
"Bongo, Eastern",Tragelaphus eurycerus isaaci,-,9.2,12.3,Least Concern
Bonobo,Pan paniscus,-,33.6,,Endangered
Bontebok,Damaliscus pygargus pygarus,11,-,-,Least Concern
"Buffalo, African Savannah",Syncerus caffer,18.8,-,-,Least Concern
"Bulbul, Collared Finch-billed",Spizixos semitorques,5,-,-,Least Concern
"Bushbaby, Moholi",Galago moholi,7.6,-,-,Least Concern
"Bushmaster, South American",Lachesis muta,7.8,-,-,Least Concern
"Bustard, Buff-crested",Lophotis gindiana,7.5,-,-,Least Concern
"Buttonquail, Madagascar",Turnix nigricollis,-,,3.2,Least Concern
"Cacique, Yellow-rumped",Cacicus cela,-,,6.7,Least Concern
Callimico,Callimico goeldii,8.9,-,-,Endangered
"Camel, Bactrian",Camelus bactrianus,17.8,-,-,Endangered
Capybara,Hydrochaeris hydrochaeris,-,7.1,8.6,Least Concern
Caracal,Caracal caracal,12.9,-,-,Least Concern
"Cardinal, Red-capped",Paroaria gularis,5.8,-,-,Least Concern
"Cardinal, Red-crested",Paroaria coronata,4.1,-,-,Least Concern
"Cassowary, Southern (Double-wattled)",Casuarius casuarius,22,-,-,Least Concern
"Cat, Black-footed",Felis nigripes,5.3,-,-,Endangered
"Cat, Fishing",Prionailurus viverrinus,-,10.9,12.8,Least Concern
"Cat, Pallas'",Felis manul,8.7,-,-,Least Concern
"Cat, Sand",Felis margarita,10,-,-,Least Concern
"Chat, Snowy-Headed Robin",Cossypha niveicapilla,4.4,-,-,Least Concern
Cheetah,Acinonyx jubatus,11.7,-,-,Endangered
"Chevrotain, Greater Malayan",Tragulus napu,7.2,-,-,Least Concern
"Chicken, Attwater's Prairie",Tympanuchus cupido attwateri,3.2,-,-,Endangered
Chimpanzee,Pan troglodytes,-,32.5,40.1,Endangered
"Chuckwalla, San Esteban",Sauromalus varius,8.4,-,-,Endangered
"Coatimundi, White-Nosed",Nasua narica,13.5,-,-,Least Concern
"Colobus, Angolan",Colobus angolensis,19.5,-,-,Least Concern
"Colobus, Guereza",Colobus guereza,-,19.6,15.1,Least Concern
"Conure, Golden",Guarouba guarouba,16.3,-,-,Least Concern
"Crake, Black",Zapornia flavirostra,3.7,-,-,Least Concern
"Crane, Black-crowned",Balearica pavonina,12.9,-,-,Least Concern
"Crane, Blue",Anthropoides paradisea,13.4,-,-,Least Concern
"Crane, Demoiselle",Anthropoides virgo,13.2,-,-,Least Concern
"Crane, Grey-crowned",Balearica regulorum,12.2,-,-,Least Concern
"Crane, Hooded",Grus monacha,14,-,-,Endangered
"Crane, Red-crowned",Grus japonensis,29,-,-,Endangered
"Crane, Wattled",Bugeranus carunculatus,-,20,,Least Concern
"Crane, White-naped",Grus vipio,15.1,-,-,Endangered
"Crane, Whooping",Grus americana,28.6,-,-,Endangered
"Curassow, Helmeted",Pauxi pauxi,16.6,-,-,Least Concern
"Curassow, Wattled",Crax globulosa,12.6,-,-,Least Concern
"Deer, Eld's",Rucervus eldii thamin,-,9.5,13.4,Least Concern
"Deer, Mexican Red Brocket",Mazama temama,5.3,-,-,Least Concern
"Deer, Père David’s",Elaphurus davidianus,-,13.2,16.3,Least Concern
"Deer, Western Tufted",Elaphodus cehalophus,-,14.3,9.3,Least Concern
"Deer, White-lipped",Przewalskium albirostris,15.1,-,-,Least Concern
"Dik-dik, Kirk's",Madoqua kirkii,4.7,-,-,Least Concern
"Dikkop, Spotted",Burhinus capensis,19.1,-,-,Least Concern
"Dog, African Painted",Lycaon pictus,10.1,-,-,Endangered
"Dog, Bush",Speothos venaticus,-,8.9,7.3,Least Concern
"Dove, Beautiful Fruit",Ptilinopus pulchellus,7.2,-,-,Least Concern
"Dove, Black-naped Fruit",Ptilinopus melanospilus,6.5,-,-,Least Concern
"Dove, Grey-capped Emerald",Chalcophaps indica,-,7.2,5.7,Least Concern
"Dove, Jambu Fruit",Ptilinopus jambu,6.1,-,-,Least Concern
"Dove, Luzon Bleeding Heart",Gallicolumba luzonica,5.8,-,-,Least Concern
"Dove, Mariana Fruit",Ptilinopus roseicapilla,-,12,5.9,Least Concern
"Dove, Mindanao Bleeding Heart",Gallicolumba criniger,5,-,-,Least Concern
"Dove, Pink-necked Fruit",Ptilinopus porphyrea,-,6.8,5,Least Concern
"Dragon, Komodo",Varanus komodoensis,-,19.5,12.2,Endangered
"Duck, Spotted Whistling",Dendrocygna guttata,-,,7.1,Least Concern
"Duck, West Indian Whistling",Dendrocygna arborea,8.9,-,-,Least Concern
"Duck, White-winged Wood",Asarcornis scutulata,5.7,-,-,Least Concern
