MONTH,REPUBLICAN,R_MOM,R_YR_CHANGE,DEMOCRAT,D_MOM,D_YR_CHANGE,MINOR,M_MOM,M_YR_CHANGE,NONE,N_MOM,N_YR_CHANGE,TOTALS,T_MOM,TOT_YR_CHANGE
12/31/2014,4182775,,,4627737,,,354805,,,2821111,,,11986428,,
1/31/2015,4182825,50,,4619316,-8421,,355189,384,,2831524,10413,,11988854,2426,
2/28/2015,4182150,-675,,4614259,-5057,,355433,244,,2842138,10614,,11993980,5126,
3/31/2015,4178215,-3935,,4606969,-7290,,355594,161,,2853469,11331,,11994247,267,
4/30/2015,4171732,-6483,,4597302,-9667,,355208,-386,,2860263,6794,,11984505,-9742,
5/31/2015,4161672,-10060,,4581004,-16298,,354080,-1128,,2860835,572,,11957591,-26914,
6/30/2015,4153210,-8462,,4569093,-11911,,353022,-1058,,2864564,3729,,11939889,-17702,
7/31/2015,4160362,7152,,4571808,2715,,353078,56,,2882748,18184,,11967996,28107,
8/31/2015,4171973,11611,,4577567,5759,,352717,-361,,2901286,18538,,12003543,35547,
9/30/2015,4164488,-7485,,4559155,-18412,,348607,-4110,,2898423,-2863,,11970673,-32870,
10/31/2015,4167185,2697,,4537859,-21296,,346992,-1615,,2895897,-2526,,11947933,-22740,
11/30/2015,4164805,-2380,,4515419,-22440,,345050,-1942,,2888127,-7770,,11913401,-34532,
12/31/2015,4193586,28781,10811,4520265,4846,-107472,341952,-3098,-12853,2887664,-463,66553,11943467,30066,-42961
1/31/2016,4209039,15453,,4534845,14580,,343423,1471,,2906189,18525,,11993496,50029,
2/28/2016,4309564,100525,,4587070,52225,,335018,-8405,,2874037,-32152,,12105689,112193,
3/31/2016,4362652,53088,,4623226,36156,,332822,-2196,,2855179,-18858,,12173879,68190,
4/30/2016,4374542,11890,,4636844,13618,,333431,609,,2866899,11720,,12211716,37837,
5/31/2016,4377713,3171,,4637026,182,,332982,-449,,2867495,596,,12215216,3500,
6/30/2016,4396609,18896,,4659801,22775,,333566,584,,2888604,21109,,12278580,63364,
7/31/2016,4428029,31420,,4686677,26876,,334670,1104,,2910126,21522,,12359502,80922,
8/31/2016,4459087,31058,,4733359,46682,,337170,2500,,2949668,39542,,12479284,119782,
9/30/2016,4500960,41873,,4800905,67546,,340511,3341,,3012910,63242,,12655286,176002,
10/31/2016,4568936,67976,,4906952,106047,,347276,6765,,3113411,100501,,12936575,281289,
11/30/2016,4577406,8470,,4914593,7641,,347582,306,,3129277,15866,,12968858,32283,
12/31/2016,4575277,-2129,381691,4905705,-8888,385440,347288,-294,5336,3130915,1638,243251,12959185,-9673,1015718
1/31/2017,4576388,1111,,4900184,-5521,,178073,-169215,,3307007,176092,,12961652,2467,
2/28/2017,4572462,-3926,,4882964,-17220,,86454,-91619,,3383543,76536,,12925423,-36229,
3/31/2017,4569664,-2798,,4868240,-14724,,86844,390,,3375151,-8392,,12899899,-25524,
4/30/2017,4565267,-4397,,4858172,-10068,,51733,-35111,,3407949,32798,,12883121,-16778,
5/31/2017,4564470,-797,,4852277,-5895,,45222,-6511,,3418998,11049,,12880967,-2154,
6/30/2017,4561787,-2683,,4842064,-10213,,47597,2375,,3419055,57,,12870503,-10464,
7/31/2017,4548354,-13433,,4825859,-16205,,50747,3150,,3411869,-7186,,12836829,-33674,
8/31/2017,4547933,-421,,4823263,-2596,,53680,2933,,3420210,8341,,12845086,8257,
9/30/2017,4540034,-7899,,4806071,-17192,,56926,3246,,3417193,-3017,,12820224,-24862,
10/31/2017,4548627,8593,,4814215,8144,,59682,2756,,3435109,17916,,12857633,37409,
11/30/2017,4550146,1519,,4815749,1534,,62675,2993,,3447811,12702,,12876381,18748,
12/31/2017,4544708,-5438,-30569,4807950,-7799,-97755,65526,2851,-281762,3449005,1194,318090,12867189,-9192,-91996
1/31/2018,4550556,5848,,4810909,2959,,68884,3358,,3462735,13730,,12893084,25895,
2/28/2018,4556401,5845,,4815369,4460,,72166,3282,,3474166,11431,,12918102,25018,
3/31/2018,4554831,-1570,,4805735,-9634,,74443,2277,,3477921,3755,,12912930,-5172,
4/30/2018,4555773,942,,4798973,-6762,,76953,2510,,3482707,4786,,12914406,1476,
5/31/2018,4547635,-8138,,4776092,-22881,,79587,2634,,3472684,-10023,,12875998,-38408,
6/30/2018,4562533,14898,,4792599,16507,,82737,3150,,3489449,16765,,12927318,51320,
7/31/2018,4594373,31840,,4840119,47520,,86739,4002,,3494676,5227,,13015907,88589,
8/31/2018,4626815,32442,,4875282,35163,,91742,5003,,3500042,5366,,13093881,77974,
9/30/2018,4661230,34415,,4918415,43133,,99322,7580,,3521905,21863,,13200872,106991,
10/31/2018,4704835,43605,,4969086,50671,,107245,7923,,3568840,46935,,13350006,149134,
11/30/2018,4718846,14011,,4980923,11837,,110914,3669,,3585429,16589,,13396112,46106,
12/31/2018,4718720,-126,174012,4975895,-5028,167945,113489,2575,47963,3588518,3089,139513,13396622,510,529433
1/31/2019,4722404,3684,,4974829,-1066,,116767,3278,,3595341,6823,,13409341,12719,
2/28/2019,4718813,-3591,,4965139,-9690,,119488,2721,,3593623,-1718,,13397063,-12278,
3/31/2019,4722570,3757,,4966223,1084,,122241,2753,,3601942,8319,,13412976,15913,
4/30/2019,4719103,-3467,,4962086,-4137,,124878,2637,,3602597,655,,13408664,-4312,
5/31/2019,4724508,5405,,4967281,5195,,127718,2840,,3613114,10517,,13432621,23957,
6/30/2019,4716019,-8489,,4955183,-12098,,130036,2318,,3604396,-8718,,13405634,-26987,
7/31/2019,4724602,8583,,4968302,13119,,133518,3482,,3616949,12553,,13443371,37737,
8/31/2019,4727674,3072,,4969590,1288,,136463,2945,,3623539,6590,,13457266,13895,
9/30/2019,4741804,14130,,4986626,17036,,140061,3598,,3638583,15044,,13507074,49808,
10/31/2019,4753298,11494,,4994380,7754,,142964,2903,,3648591,10008,,13539233,32159,
11/30/2019,4750402,-2896,,4977612,-16768,,144866,1902,,3635437,-13154,,13508317,-30916,
12/31/2019,4761405,11003,42685,4986520,8908,10625,147546,2680,34057,3641359,5922,52841,13536830,28513,140208
