occurrenceStatus,species,country,locality,year,month,day
PRESENT,Orycteropus afer,Kenya,Marsabit Forest Ecosystem,2014,9,30
PRESENT,Orycteropus afer,Unknown,Unknown,0,0,0
PRESENT,Orycteropus afer,Germany,Germany,0,0,0
PRESENT,Orycteropus afer,South Africa,South Africa,0,0,0
PRESENT,Orycteropus afer,Niger,"Say, Parc W",2015,4,8
PRESENT,Orycteropus afer,Unknown,Unknown,0,0,0
PRESENT,Orycteropus afer,Unknown,Unknown,0,0,0
PRESENT,Orycteropus afer,Unknown,Unknown,0,0,0
PRESENT,Orycteropus afer,Unknown,Unknown,0,0,0
PRESENT,Orycteropus afer,Unknown,Unknown,0,0,0
PRESENT,Orycteropus afer,Unknown,Unknown,0,0,0
PRESENT,Orycteropus afer,Unknown,Unknown,0,0,0
PRESENT,Orycteropus afer,Unknown,Unknown,0,0,0
PRESENT,Orycteropus afer,Unknown,Unknown,1982,6,4
PRESENT,Orycteropus afer,Namibia,Namibia,0,0,0
PRESENT,Orycteropus afer,Benin,Tanguieta,2015,6,29
PRESENT,Orycteropus afer,Benin,Tanguieta,2015,1,26
PRESENT,Orycteropus afer,Guinea-Bissau,Bissau,1946,4,12
PRESENT,Orycteropus afer,Unknown,Unknown,1966,11,23
PRESENT,Orycteropus afer,South Africa,South Africa,0,0,0
PRESENT,Addax nasomaculatus,Unknown,Unknown,2006,7,4
PRESENT,Addax nasomaculatus,Sahara,Sahara,0,0,0
PRESENT,Addax nasomaculatus,Unknown,Unknown,1938,1,1
PRESENT,Addax nasomaculatus,Unknown,Unknown,0,0,0
PRESENT,Addax nasomaculatus,Sudan,Sudan,0,0,0
PRESENT,Addax nasomaculatus,Algeria,Algeria,1888,0,0
PRESENT,Addax nasomaculatus,Unknown,Unknown,1938,1,1
PRESENT,Addax nasomaculatus,Algeria,Biskra/Wilaya de Biskra,0,0,0
PRESENT,Addax nasomaculatus,United States of America,United States of America,2020,10,3
PRESENT,Addax nasomaculatus,Unknown,Unknown,2006,1,25
PRESENT,Addax nasomaculatus,ZOO,ZOO,1994,7,10
PRESENT,Addax nasomaculatus,Zoo de Hanovre,Zoo de Hanovre,0,0,0
PRESENT,Addax nasomaculatus,Unknown,Unknown,1938,1,1
PRESENT,Addax nasomaculatus,unknown or invalid,unknown or invalid,0,0,0
PRESENT,Addax nasomaculatus,Sahara,Sahara,0,0,0
PRESENT,Addax nasomaculatus,Unknown,Unknown,0,0,0
PRESENT,Addax nasomaculatus,Oklahoma City Zoological Park,Oklahoma City Zoological Park,1967,2,21
PRESENT,Addax nasomaculatus,Germany,Zoo Berlin,1995,2,25
PRESENT,Addax nasomaculatus,Oklahoma City Zoological Park,Oklahoma City Zoological Park,1969,5,10
PRESENT,Dasyprocta leporina,Guyana,"Guyana:Potaro-Siparuni, Iwokrama Forest, Canopy Walkway",2008,8,17
PRESENT,Dasyprocta leporina,Guyana,"Guyana:Upper Demerara-Berbice, Tropenbos, 20 Km Sse Of Mabura Hill",1994,8,4
PRESENT,Dasyprocta leporina,Suriname,"Suriname:Sipaliwini, Iconja Landing, Sipaliwini River, terra firme primary lowland forest",2009,7,25
PRESENT,Dasyprocta leporina,Guyana,"Guyana:Potaro-Siparuni, Pakatau Falls, Siparuni River, Iwokrama Reserve",1997,11,18
PRESENT,Dasyprocta leporina,Guyana,"Guyana:Potaro-Siparuni, Iwokrama Reserve, Pakatau Mountain, Siparuni River, 42 Km WNW Of Kurupukari",1997,3,15
PRESENT,Dasyprocta leporina,Guyana,"Guyana:Upper Takutu-Upper Essequibo, Chodikar River, 55 Km SW Of Gunn'S Strip",1996,11,1
PRESENT,Dasyprocta leporina,Guyana,"Guyana:Potaro-Siparuni, 38 Mile Camp, 35 Km SW Of Kurupukari, Iwokrama Reserve",1997,10,6
PRESENT,Dasyprocta leporina,Brazil,"in Baixada Santista, site occupies area of 850 square meters, archaeological site",0,0,0
PRESENT,Dasyprocta leporina,Brazil,"149500,000 ha of relatively undisturbed upland Amazonian rainforest. Located on Amazon's meander plain, although there is no major river in study area.",0,0,0
PRESENT,Dasyprocta leporina,Unknown,Unknown,0,0,0
PRESENT,Dasyprocta leporina,Unknown,Unknown,0,0,0
PRESENT,Dasyprocta leporina,Unknown,Unknown,0,0,0
PRESENT,Dasyprocta leporina,Ecuador,Ecuador,1958,9,21
PRESENT,Dasyprocta leporina,Unknown,Unknown,0,0,0
PRESENT,Dasyprocta leporina,Unknown,Unknown,0,0,0
PRESENT,Dasyprocta leporina,Unknown,Unknown,0,0,0
PRESENT,Dasyprocta leporina,Brazil,Brazil,0,0,0
PRESENT,Dasyprocta leporina,Unknown,Unknown,0,0,0
PRESENT,Dasyprocta leporina,Unknown,Unknown,0,0,0
PRESENT,Dasyprocta leporina,Suriname,Suriname,0,0,0
PRESENT,Alligator sinensis,Germany,Tierpark Berlin,1963,7,1
PRESENT,Alligator sinensis,China,"Wubu, Jangtsekiang",0,0,0
PRESENT,Alligator sinensis,China,"Wubu, Jangtsekiang",0,0,0
PRESENT,Alligator sinensis,Unknown,Unknown,0,0,0
PRESENT,Alligator sinensis,China,"Wubu, Jangtsekiang",0,0,0
PRESENT,Alligator sinensis,China,"Wubu, Jangtsekiang, Anhui Province",0,0,0
PRESENT,Alligator sinensis,China,China,0,0,0
PRESENT,Alligator sinensis,China,"Wubu, Jangtsekiang",0,0,0
PRESENT,Alligator sinensis,China,"Dangtu Xian, Wan Qing Hu Lake",1920,2,2
PRESENT,Alligator sinensis,China,"Dangtu Xian, Wan Qing Hu Lake",1920,2,2
PRESENT,Alligator sinensis,Unknown,Unknown,0,0,0
PRESENT,Alligator sinensis,Unknown,Unknown,0,0,0
PRESENT,Alligator sinensis,Germany,Tierpark Berlin,0,0,0
PRESENT,Alligator sinensis,China,Yangtse Kiang,0,0,0
PRESENT,Alligator sinensis,China,China,0,0,0
PRESENT,Alligator sinensis,Germany,Tierpark Berlin,0,0,0
PRESENT,Alligator sinensis,Germany,Tierpark Berlin,0,0,0
PRESENT,Alligator sinensis,Germany,Tierpark Berlin,0,0,0
PRESENT,Alligator sinensis,[No data],[No data],0,0,0
PRESENT,Alligator sinensis,China,Kiu-Kiang,0,0,0
PRESENT,Bubalus depressicornis,unknown or invalid,unknown or invalid,1964,12,28
PRESENT,Bubalus depressicornis,Unknown,Unknown,0,0,0
PRESENT,Bubalus depressicornis,Unknown,Unknown,0,0,0
PRESENT,Bubalus depressicornis,unknown or invalid,unknown or invalid,1949,4,14
PRESENT,Bubalus depressicornis,Indonesia,Indonesia,0,0,0
PRESENT,Bubalus depressicornis,Indonesia,Indonesia,0,0,0
PRESENT,Bubalus depressicornis,Indonesia,Indonesia,0,0,0
PRESENT,Bubalus depressicornis,Unknown,Unknown,0,0,0
PRESENT,Bubalus depressicornis,Unknown,Unknown,0,0,0
PRESENT,Bubalus depressicornis,Unknown,Unknown,0,0,0
PRESENT,Bubalus depressicornis,Indonesia,"Limbe I, Government Reserve",1929,6,19
